SID,Run,Scheduled Onset(s),Actual Onset(s),Scheduled Onset(TR),Actual Onset(TR),Order,Section,Picture
20131104T112657,1,0,0.053833,0,0.026917,CDFAEB,C,C1_1
20131104T112657,1,2,2.0214,1,1.0107,CDFAEB,C,Fixation
20131104T112657,1,2.5,2.5165,1.25,1.2582,CDFAEB,C,C1_2
20131104T112657,1,4.5,4.5164,2.25,2.2582,CDFAEB,C,Fixation
20131104T112657,1,5,5.0159,2.5,2.508,CDFAEB,C,C1_3
20131104T112657,1,7,7.0157,3.5,3.5079,CDFAEB,C,Fixation
20131104T112657,1,7.5,7.5149,3.75,3.7575,CDFAEB,C,C1_4
20131104T112657,1,9.5,9.5155,4.75,4.7578,CDFAEB,C,Fixation
20131104T112657,1,10,10.0154,5,5.0077,CDFAEB,C,C1_5
20131104T112657,1,12,12.0145,6,6.0072,CDFAEB,C,Fixation
20131104T112657,1,20.5,20.5147,10.25,10.2574,CDFAEB,D,D1_1
20131104T112657,1,22.5,22.5147,11.25,11.2573,CDFAEB,D,Fixation
20131104T112657,1,23,23.0146,11.5,11.5073,CDFAEB,D,D1_2
20131104T112657,1,25,25.0142,12.5,12.5071,CDFAEB,D,Fixation
20131104T112657,1,25.5,25.7133,12.75,12.8566,CDFAEB,D,D1_3
20131104T112657,1,27.5,27.5132,13.75,13.7566,CDFAEB,D,Fixation
20131104T112657,1,28,28.0129,14,14.0065,CDFAEB,D,D1_4
20131104T112657,1,30,30.0128,15,15.0064,CDFAEB,D,Fixation
20131104T112657,1,30.5,30.5128,15.25,15.2564,CDFAEB,D,D1_5
20131104T112657,1,32.5,32.5135,16.25,16.2567,CDFAEB,D,Fixation
20131104T112657,1,41,41.0118,20.5,20.5059,CDFAEB,F,F1_1
20131104T112657,1,43,43.0128,21.5,21.5064,CDFAEB,F,Fixation
20131104T112657,1,43.5,43.5123,21.75,21.7562,CDFAEB,F,F1_2
20131104T112657,1,45.5,45.5114,22.75,22.7557,CDFAEB,F,Fixation
20131104T112657,1,46,46.0113,23,23.0057,CDFAEB,F,F1_3
